Subject Category,Content Category,Concept Category
Biochemistry,1A,Amino Acids
Biochemistry,1A,Enzymes
Biochemistry,1A,Proteins
Biochemistry,1B,DNA and Biotechnology
Biochemistry,1B,Eukaryotic Gene Expression
Biochemistry,1B,RNA and The Central Dogma
Biochemistry,1C,Evolution
Biochemistry,1C,Genetics
Biochemistry,1C,Meiosis and Genetic Diversity
Biochemistry,1D,Aerobic Respiration
Biochemistry,1D,Bioenergetics and Regulation of Metabolism
Biochemistry,1D,Glycolysis, Glycogen, Gluconeogenesis, and The Pentose Phosphate Pathway
Biochemistry,1D,Lipid and Amino Acid Metabolism
Biology,2A,Plasma Membrane
Biology,2A,The Cell
Biology,2B,Prokaryotes
Biology,2B,Viruses
Biology,2C,Embryogenesis
Biology,2C,Mitosis
Biology,3A,Endocrine System
Biology,3A,Nervous System
Biology,3B,Digestion System
Biology,3B,Excretion System
Biology,3B,Immune System
Biology,3B,Muscular System
Biology,3B,Reproductive System
Biology,3B,Respiration and Circulation
Biology,3B,Skin and Bones
CARs,CARs,Foundations of Comprehension
CARs,CARs,Reasoning Beyond the Text
CARs,CARs,Reasoning Within the Text
Chemistry,4E,Atoms
Chemistry,4E,Periodic Trends
Chemistry,4E,Stoichiometry
Chemistry,5A,Acid-Base
Chemistry,5A,Solutions
Chemistry,5B,Covalent Bonds
Chemistry,5B,Intermolecular Forces
Chemistry,5C,Seperations and Purifications
Chemistry,5C,Spectroscopy
Chemistry,5D,Carbohydrate Structure and Function
Chemistry,5D,Lipid Structure and Function
Chemistry,5D,Organic Compounds
Chemistry,5E,Enzyme Kinetics
Chemistry,5E,Equilibrium
Chemistry,5E,Thermodynamics and Thermochemistry
Physics,4A,Energy
Physics,4A,Force
Physics,4A,Kinematics
Physics,4B,Fluids
Physics,4B,Gases
Physics,4C,Circuits
Physics,4C,Electrochemistry
Physics,4C,Electrostatics and Magnetism
Physics,4D,Light and Optics
Physics,4D,Sound and Waves
Psychology,6A,Perception
Psychology,6A,Sensation
Psychology,6B,Cognition
Psychology,6B,Memory and Language
Psychology,6C,Emotions and Stress
Psychology,7A,Biology and Behavior
Psychology,7A,Motivation and Attitudes
Psychology,7A,Personality
Psychology,7B,Social Processes on Communities
Psychology,7B,Social Processes on Individuals
Psychology,7C,Attitude and Behavior Change
Psychology,7C,Learning
Sociology,10A,Social Stratification
Sociology,8A,Self-Identity
Sociology,8B,Attribution
Sociology,8B,Stereotypes and Bias
Sociology,8C,Self Presentation
Sociology,8C,Social Interaction
Sociology,9A,Culture
Sociology,9A,Social Institutions
Sociology,9B,Demographic Shift
Sociology,9B,Demographic Structure